split,model,fold,n,n_pos,n_neg,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
cv,MLP,2,319,231,88,0.8087774294670846,0.8935185185185185,0.8354978354978355,0.8635346756152126,0.5488014562569542,0.8553473042109406,0.9316285539279585
cv,Adaboost,2,319,231,88,0.774294670846395,0.7933579335793358,0.9307359307359307,0.8565737051792829,0.36799252307908825,0.7698986619441165,0.8945829482661686
cv,LR,2,319,231,88,0.7899686520376176,0.8059701492537313,0.935064935064935,0.8657314629258517,0.41971065030109683,0.7949380165289256,0.8995506158990377
cv,CatBoost,3,319,230,89,0.8119122257053292,0.8483606557377049,0.9,0.8734177215189873,0.5121776698509534,0.8838055691255496,0.9553484472133253
cv,LGBM,3,319,230,89,0.799373040752351,0.8143939393939394,0.9347826086956522,0.8704453441295547,0.4562012778668791,0.8619687347337567,0.942808105086136
cv,RF,3,319,230,89,0.8181818181818182,0.8185185185185185,0.9608695652173913,0.884,0.5103742301437119,0.858646800195408,0.9420407375575792
cv,SVM,3,319,230,89,0.8150470219435737,0.8250950570342205,0.9434782608695652,0.8803245436105477,0.5029590778422646,0.8371519296531511,0.9293998652774151
cv,GB,3,319,230,89,0.7554858934169278,0.8166666666666667,0.8521739130434782,0.8340425531914893,0.3717664957328475,0.8272594040058623,0.9264102892258834
cv,XGB,3,319,230,89,0.8181818181818182,0.8412698412698413,0.9217391304347826,0.8796680497925311,0.5200439504118515,0.8653883732291158,0.9358095837978126
cv,MLP,3,319,230,89,0.786833855799373,0.8319672131147541,0.8826086956521739,0.8565400843881856,0.44625023045522894,0.8265510503175378,0.9227398327697984
cv,Adaboost,3,319,230,89,0.7335423197492164,0.7508650519031141,0.9434782608695652,0.8362235067437379,0.2066511094969178,0.7361748900830485,0.8789840459776131
cv,LR,3,319,230,89,0.7586206896551724,0.7647058823529411,0.9608695652173913,0.8516377649325626,0.30243273525720377,0.7578651685393258,0.8877826313099214
cv,CatBoost,4,319,230,89,0.8025078369905956,0.8223938223938224,0.9260869565217391,0.8711656441717791,0.4696821840600675,0.8621641426477773,0.9378961883618558
cv,LGBM,4,319,230,89,0.8181818181818182,0.8307692307692308,0.9391304347826087,0.8816326530612245,0.5137604255058433,0.8500977039570103,0.9274406855930658
cv,RF,4,319,230,89,0.799373040752351,0.8007246376811594,0.9608695652173913,0.8735177865612648,0.4503265497375725,0.8188812896922325,0.9089089066944036
cv,SVM,4,319,230,89,0.8087774294670846,0.8237547892720306,0.9347826086956522,0.8757637474541752,0.4859894505833143,0.843209574987787,0.9265672553535229
cv,GB,4,319,230,89,0.7492163009404389,0.7952755905511811,0.8782608695652174,0.8347107438016529,0.32735556286958045,0.7896433805569126,0.9032497714521149
cv,XGB,4,319,230,89,0.8150470219435737,0.8326848249027238,0.9304347826086956,0.8788501026694046,0.5069725630003752,0.8555691255495848,0.9304246549306212
cv,MLP,4,319,230,89,0.8244514106583072,0.8565573770491803,0.908695652173913,0.8818565400843882,0.5451413895488156,0.8278212017586712,0.9027164679837508
cv,Adaboost,4,319,230,89,0.7366771159874608,0.7534722222222222,0.9434782608695652,0.8378378378378378,0.22065676217509522,0.7136785539814363,0.863315963960148
cv,LR,4,319,230,89,0.7648902821316614,0.7758007117437722,0.9478260869565217,0.8532289628180039,0.3322419587695145,0.7610893991206644,0.8823769063878202
cv,CatBoost,5,319,230,89,0.8338557993730408,0.852589641434263,0.9304347826086956,0.8898128898128899,0.5636707818390723,0.8813873961895458,0.9464304734298901
cv,LGBM,5,319,230,89,0.8213166144200627,0.8215613382899628,0.9608695652173913,0.8857715430861723,0.5200443776911283,0.8839765510503176,0.9480687026356478
cv,RF,5,319,230,89,0.8150470219435737,0.8086642599277978,0.9739130434782609,0.883629191321499,0.5019425834204262,0.8858085002442599,0.9512311698853231
cv,SVM,5,319,230,89,0.8087774294670846,0.8366533864541833,0.9130434782608695,0.8731808731808732,0.495405413803133,0.861504640937958,0.9388067505910429
cv,GB,5,319,230,89,0.8213166144200627,0.8619246861924686,0.8956521739130435,0.8784648187633263,0.5430791559580838,0.8586223742061554,0.937968376588169
cv,XGB,5,319,230,89,0.8275862068965517,0.8514056224899599,0.9217391304347826,0.8851774530271399,0.5483631869753521,0.8782608695652174,0.9479348354792758
cv,MLP,5,319,230,89,0.7931034482758621,0.853448275862069,0.8608695652173913,0.8571428571428571,0.48222770521905284,0.8358085002442599,0.9204329491393105
