split,model,fold,n,n_pos,n_neg,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
cv,MLP,2,319,231,88,0.8056426332288401,0.8535564853556485,0.8831168831168831,0.8680851063829788,0.5004882180089856,0.8452626918536009,0.9221413313478509
cv,Adaboost,2,319,231,88,0.7241379310344828,0.7241379310344828,1.0,0.84,0.0,0.7677095631641087,0.892725495251472
cv,LR,2,319,231,88,0.7241379310344828,0.7313915857605178,0.9783549783549783,0.837037037037037,0.0902151501061558,0.77663813459268,0.888742107627263
cv,CatBoost,3,319,230,89,0.8150470219435737,0.8461538461538461,0.908695652173913,0.8763102725366876,0.5168295213358408,0.8606253053248656,0.9395765395003712
cv,LGBM,3,319,230,89,0.8119122257053292,0.8171641791044776,0.9521739130434783,0.8795180722891566,0.4914883656454812,0.8580850024425989,0.9360791952423434
cv,RF,3,319,230,89,0.8056426332288401,0.8134328358208955,0.9478260869565217,0.8755020080321285,0.4724171104890637,0.8554714215925745,0.9342315181787949
cv,SVM,3,319,230,89,0.7774294670846394,0.7933579335793358,0.9347826086956522,0.8582834331337326,0.3833214555401484,0.82638006839277,0.9264759381367726
cv,GB,3,319,230,89,0.799373040752351,0.8487394957983193,0.8782608695652174,0.8632478632478633,0.4881938121964604,0.8404005862237421,0.9296477772784335
cv,XGB,3,319,230,89,0.8025078369905956,0.8326693227091634,0.908695652173913,0.8690228690228691,0.4783390717941482,0.8538348803126528,0.9348409034282154
cv,MLP,3,319,230,89,0.7962382445141066,0.8367346938775511,0.8913043478260869,0.8631578947368421,0.4695163797139535,0.8443575964826576,0.9343803644379756
cv,Adaboost,3,319,230,89,0.7335423197492164,0.7392739273927392,0.9739130434782609,0.8405253283302064,0.17727621571246263,0.7117244748412312,0.8525025127921412
cv,LR,3,319,230,89,0.7460815047021944,0.7614035087719299,0.9434782608695652,0.8427184466019417,0.2607955150555479,0.7333659013190034,0.880800168147165
cv,CatBoost,4,319,230,89,0.799373040752351,0.8267716535433071,0.9130434782608695,0.8677685950413223,0.4661743392808748,0.8421592574499268,0.9309501578519959
cv,LGBM,4,319,230,89,0.799373040752351,0.8120300751879699,0.9391304347826087,0.8709677419354839,0.4546786801647477,0.8397166585246703,0.9330361194569962
cv,RF,4,319,230,89,0.7931034482758621,0.7907801418439716,0.9695652173913043,0.87109375,0.42950457194725983,0.8439667806546165,0.9333585902793994
cv,SVM,4,319,230,89,0.7836990595611285,0.8340248962655602,0.8739130434782608,0.8535031847133758,0.44295035415882555,0.8128969223253542,0.9157203160276721
cv,GB,4,319,230,89,0.799373040752351,0.8516949152542372,0.8739130434782608,0.8626609442060086,0.4913568235725769,0.8259404005862238,0.9221138501864798
cv,XGB,4,319,230,89,0.8150470219435737,0.8461538461538461,0.908695652173913,0.8763102725366876,0.5168295213358408,0.8452369320957499,0.9349573505522578
cv,MLP,4,319,230,89,0.7836990595611285,0.8084291187739464,0.9173913043478261,0.8594704684317719,0.4135028884624132,0.8299951148021495,0.925688376477269
cv,Adaboost,4,319,230,89,0.7272727272727273,0.7508771929824561,0.9304347826086956,0.8310679611650486,0.19284525425833599,0.7210307767464582,0.8795416441082246
cv,LR,4,319,230,89,0.7241379310344828,0.7305194805194806,0.9782608695652174,0.8364312267657993,0.11227446356069326,0.7469467513434294,0.8858725736384256
cv,CatBoost,5,319,230,89,0.8307210031347962,0.860655737704918,0.9130434782608695,0.8860759493670886,0.5616232493977467,0.8874938935026868,0.9507248687697543
cv,LGBM,5,319,230,89,0.8087774294670846,0.8262548262548263,0.9304347826086956,0.8752556237218814,0.4875678969304461,0.8812896922325355,0.9485531066698341
cv,RF,5,319,230,89,0.8275862068965517,0.8326996197718631,0.9521739130434783,0.8884381338742393,0.539703368654513,0.8910112359550562,0.9523688600567948
cv,SVM,5,319,230,89,0.7836990595611285,0.8084291187739464,0.9173913043478261,0.8594704684317719,0.4135028884624132,0.8552515876893014,0.9409389122989267
cv,GB,5,319,230,89,0.8119122257053292,0.8455284552845529,0.9043478260869565,0.8739495798319328,0.5096776074063774,0.8619443087445042,0.937591148376065
cv,XGB,5,319,230,89,0.8338557993730408,0.8672199170124482,0.908695652173913,0.8874734607218684,0.5730469479916398,0.8875915974596972,0.9525027355616442
